Compound.ID,Name,Super.Class,Class,n_genes,n_cell_types
C8-Pos-004801,Pc(16:1cooh_23:3),Lipids and lipid-like molecules,Glycerophospholipids,667,2
C8-Pos-004612,Pc(9:0cho_26:1),Lipids and lipid-like molecules,Glycerophospholipids,661,3
C8-Neg-003657,Ps(17:1_29:3),Lipids and lipid-like molecules,Glycerophospholipids,641,5
Amide-Neg-000149,2-Furoic Acid,Organoheterocyclic compounds,Furans,640,9
C8-Pos-005012,Pc(17:4cooh_23:5),Lipids and lipid-like molecules,Glycerophospholipids,628,2
C18-Pos-001113,Methyl L-Tryptophanate,Organic acids and derivatives,Carboxylic acids and derivatives,590,9
Amide-Pos-000849,Carnosine,Organic acids and derivatives,Peptidomimetics,560,3
C8-Neg-000519,4-Dodecylbenzenesulfonic Acid,Benzenoids,Benzene and substituted derivatives,558,8
Amide-Neg-000078,Isobutyric Acid,Organic acids and derivatives,Carboxylic acids and derivatives,543,2
C8-Neg-003462,Pc(17:3_20:1),Lipids and lipid-like molecules,Glycerophospholipids,529,8
C8-Pos-000806,Glycerol Monooleate,Lipids and lipid-like molecules,Glycerolipids,528,2
C18-Pos-001292,"Bis(2,2,6,6-Tetramethyl-4-Piperidyl)Sebacate",Lipids and lipid-like molecules,Fatty Acyls,514,4
Amide-Neg-000219,N-Acetylglycine,Organic acids and derivatives,Carboxylic acids and derivatives,499,3
C8-Neg-003343,Pg(20:3_20:4),Lipids and lipid-like molecules,Glycerophospholipids,498,4
Amide-Pos-001107,L-Saccharopine,Organic acids and derivatives,Carboxylic acids and derivatives,494,5
C18-Pos-000207,Caprolactam,Organoheterocyclic compounds,Lactams,479,4
C8-Pos-005464,Pc(26:6_21:6cho),Lipids and lipid-like molecules,Glycerophospholipids,471,4
C8-Pos-005110,Pe(O-14:0_32:0),Lipids and lipid-like molecules,Glycerophospholipids,468,8
C8-Pos-001592,"2-[{[(1s,4s,6s)-4-({5-[4-(Dimethylamino)Phenyl]-1,3,4-Oxadiazol-2-Yl}Methyl)-6-Isopropyl-3-Methyl-2-Cyclohexen-1-Yl]Methyl}(Methyl)Amino]Ethanol",Lipids and lipid-like molecules,Prenol lipids,453,9
C8-Pos-000342,Palmitic Acid,Lipids and lipid-like molecules,Fatty Acyls,446,4
Amide-Pos-000996,2'-Deoxyadenosine,"Nucleosides, nucleotides, and analogues",Purine nucleosides,442,5
C18-Pos-002114,Nicotinamide Adenine Dinucleotide (Nad+),"Nucleosides, nucleotides, and analogues",(5'->5')-dinucleotides,438,3
C8-Neg-000383,(Rac)-Idroxioleic Acid,Lipids and lipid-like molecules,Fatty Acyls,427,4
C8-Neg-003658,Pc(19:2cooh_21:6),Lipids and lipid-like molecules,Glycerophospholipids,407,1
C8-Pos-001521,Triethyleneglycol Bis(2-Ethylhexanoate),Lipids and lipid-like molecules,Fatty Acyls,396,1
C18-Pos-000695,2-Aminocaprylate,Organic acids and derivatives,Carboxylic acids and derivatives,392,1
Amide-Neg-001329,Spongouridin,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleosides,391,2
C8-Pos-000612,"4-Hydroxy-6-[2-(2-Methyl-1,2,4a,5,6,7,8,8a-Octahydronaphthalen-1-Yl)Ethyl]Oxan-2-One",Organoheterocyclic compounds,Lactones,388,4
C18-Pos-000931,"1,3-Benzodioxolylbutanamine (Bdb)",Organoheterocyclic compounds,Benzodioxoles,374,3
